"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000001740331","팔레스타인 종족 청소 :이스라엘의 탄생과 팔레스타인의 눈물","일란 파페 지음","교유서가 : 교유당","2024","9791193710746","9","3"
"000001524129","패배의 신호","프랑수아즈 사강 지음","녹색광선","2022","9791196554866","8","3"
"000001738626","팩트체크의 기초 :당신의 콘텐츠가 가짜가 되지 않게","브룩 보렐 지음","유유","2025","9791167701145","0","3"
"000000298637","포스트맨은 벨을 두 번 울린다","제임스 M. 케인 지음","민음사","2007","9788937461699","8","3"
"000001644505","포카치아 :저온 발효에 관한 실질적 이론과 레시피 =Focaccia","홍상기 지음","더테이블","2023","9791192855028","5","3"
"000001591993","폭설에서 살아남기","포도알친구 글","Mirae N 아이세움 : 미래엔","2022","9791168414143","4","3"
"000000179478","폭풍의 언덕","에밀리 브론테 지음","문예","2012","9788931006971","8","3"
"000001369959","폴리네시아에서 온 아이","코슈카 지음","라임","2019","9791189208301","8","3"
"000001737629","푸드닥터 마스터 클래스 :면역 주스부터 항염?항암 집밥까지 음식 처방하는 약사의 위대한 치유 밥상","한형선","사슴의숲","2024","9791198929808","5","3"
"000001654701","푸드마케팅 .[1] =Food marketing","황조혜","한국방송통신대학교 출판문화원","2024","9788920047466","5","3"
"000001736116","푸른 세상을 빚다, 고려 상형청자 =Sculpted celadon of the Goryeo dynasty","국립중앙박물관 [편]","국립중앙박물관","2024","9788998234812","6","3"
"000001732042","풍미 마스터 클래스 :한 끗 차이로 맛의 차원을 높이는 '제리코 레시피'의 특급 풍미 노하우","백지혜 지음",";(세미콜론)","2024","9791194087588","5","3"
"000001558758","프랑스와 중국의 위험한 관계 :프랑스는 중국 공산당에 어떻게 잠식되고 있는가","앙투안 이장바르 지음","미디어워치 : 미디어실크","2022","9791192014050","3","3"
"000001724574","프랭클린 익스프레스 :길고 쓸모 있는 인생의 비밀을 찾아 떠난 여행 =Franklin express","에릭 와이너 지음","어크로스출판그룹","2024","9791167741677","1","3"
"000001659184","프랭키 :요헨 구치?막심 레오 장편소설","요헨 구치","인플루엔셜","2024","9791168341647","8","3"
"000001504026","프레임 :나를 바꾸는 심리학의 지혜","최인철 지음","북이십일 : 북이십일 21세기북스","2021","9788950994518","1","3"
"000001397202","프리드버그 선형대수학 :최초 번역판","스티븐 H. 프리드버그","한빛아카데미","2020","9791156644910","4","3"
"000000300735","프린들 주세요","앤드루 클레먼츠 지음","사계절","2012","9788971968345","8","3"
"000001516542","프셉마음 :신규 간호사를 위한 진짜 실무 팁 .[11] ,정맥주사편","곽상복 저","드림널스","2021","9791190939690","5","3"
"000001519581","프셉마음 :신규 간호사를 위한 진짜 실무 팁 .[14] ,중환자 간호 입문편","전호웅 저","드림널스","2020","9791196872519","5","3"
"000001570056","프셉마음 :신규 간호사를 위한 진짜 실무 팁 .[21] ,혈액검사 해석 및 간호편","이재왕","드림널스","2022","9791192543062","5","3"
"000001717115","프셉마음 :신규 간호사를 위한 진짜 실무 팁 .[24] ,영상의학과편","원용균 저","드림널스","2024","9791192543826","5","3"
"000001486010","프셉마음 :신규 간호사를 위한 진짜 실무 팁 .[3] ,입문편","드림널스 편집부 저 및 편집","드림널스","2020","9791196872540","5","3"
"000000001113","피로사회","한병철 [지음]","문학과지성사","2012","9788932022888","1","3"
"000001677430","피아노 조율사 :궈창성 장편소설","궈창성 지음","민음사","2024","9788937456466","8","3"
"000000992067","피아트와 파시즘 :기업은 국가를 어떻게 활용했는가","장문석 지음","지식의풍경","2009","9788989047360","9","3"
"000001065506","피해와 가해의 페미니즘","권김현영 엮음","교양인","2018","9791187064220","3","3"
"000001720901","필터월드 :알고리즘이 찍어내는 똑같은 세상","카일 차이카 지음","미래의창","2024","9791193638361","3","3"
"000000895169","핏자 나폴리타나 S.T.G= 나폴리 핏자 장인의 모든 것 : 핏제리아의 요리  / Pizza Napoletana S.T.G. ","마키시마 파스쿠아레 아키나리 지음","지식인하우스: 홈스토리","2016","9791185959160","5","3"
"000001721064","하나님의 DNA =Declare n align","최상훈 지음","규장","2024","9791165045432","2","3"
"000001155161","하나님의 열심 :믿음은 어디서 오는가","박영선 지음","무근검","2017","9791187506072","2","3"
